Band_Rank,Score_Min,Score_Max,Population,Defaults,Default_Rate
1,833.6506497603879,890.2020458749682,3000,35,0.011666666666666667
2,820.8967610553589,833.6385858248972,3000,89,0.029666666666666668
3,811.0315463386858,820.8921206617979,3000,80,0.02666666666666667
4,802.4944134683716,811.0310182124119,3000,145,0.04833333333333333
5,794.1504062031881,802.4943362004603,3000,174,0.058
6,786.1495612431256,794.1490331400382,3000,229,0.07633333333333334
7,777.3150494774409,786.1441747999528,3000,309,0.103
8,767.1795201594296,777.3123881529307,3000,401,0.13366666666666666
9,752.6107239157774,767.1751307446652,3000,582,0.194
10,683.931871921051,752.6085753838981,3000,1020,0.34
